20	20
7	2	6	3	10	3	12	2	3	5	8	4	5	2	9	0	0	1	17	2	13	1	19	1	11	2	4	3	16	0	18	3	14	3	15	3	2	0	1	0
17	0	11	0	12	1	9	3	1	1	6	0	8	0	15	1	16	5	5	4	19	4	0	1	13	0	18	3	4	4	10	2	14	1	2	5	7	2	3	5
1	5	10	3	15	2	18	2	8	3	13	3	19	4	12	3	6	2	0	1	5	5	16	0	9	4	4	5	3	4	7	3	17	2	14	2	2	0	11	1
3	5	9	4	18	4	8	4	17	4	7	0	0	2	1	1	19	3	15	3	6	2	10	3	12	4	4	4	11	0	2	0	14	0	13	2	5	5	16	0
6	0	19	4	7	2	12	0	5	5	9	5	10	4	15	4	8	0	0	3	2	0	1	5	14	3	4	2	3	4	17	5	11	4	13	0	16	4	18	5
14	5	1	2	17	1	3	1	12	2	19	4	6	5	8	2	10	0	15	3	5	0	4	0	7	2	11	2	9	3	18	2	16	0	2	3	13	2	0	1
10	2	17	2	19	1	13	2	1	1	3	0	0	3	8	0	4	1	16	5	9	3	14	2	12	2	18	3	2	1	11	4	7	4	5	3	15	5	6	5
4	0	10	1	16	1	8	5	18	0	1	2	12	1	13	0	7	1	5	0	14	5	0	4	9	4	2	2	15	4	3	5	17	1	6	0	11	2	19	0
8	5	0	2	11	2	5	2	6	2	12	5	1	5	16	2	3	5	18	0	10	4	7	0	15	1	4	1	19	5	2	0	17	2	14	0	13	3	9	4
0	3	2	4	4	1	6	0	18	0	11	0	9	5	19	3	13	1	8	2	16	4	7	4	15	4	1	1	10	5	3	0	12	3	17	4	14	0	5	3
19	5	17	3	14	3	6	4	16	3	0	4	18	1	1	2	12	2	8	5	3	0	13	5	15	0	9	0	5	0	7	3	11	3	10	4	2	1	4	3
7	1	0	2	5	4	14	1	6	4	1	3	9	1	19	0	17	3	11	3	2	4	4	1	15	1	8	1	18	2	16	4	10	3	12	0	3	2	13	0
3	4	0	0	1	5	11	3	19	4	5	1	8	4	2	4	17	0	12	0	13	1	4	0	16	0	18	3	15	0	7	4	9	3	6	2	10	0	14	5
11	0	15	3	14	4	4	4	3	4	19	0	16	4	12	1	10	3	5	0	7	5	13	3	0	3	1	0	2	4	17	2	18	5	9	4	6	5	8	2
16	5	7	4	19	1	3	3	2	5	8	0	17	0	4	3	12	2	18	4	5	3	6	5	15	0	14	4	10	1	11	5	0	2	9	0	13	0	1	0
3	4	10	1	16	0	12	3	9	0	11	3	2	4	19	1	1	0	6	4	15	4	14	2	18	4	17	4	7	4	5	5	13	2	4	4	8	2	0	1
17	1	11	2	19	4	7	1	13	5	2	5	5	4	18	3	0	4	6	2	3	3	9	4	1	3	4	1	15	3	14	3	8	3	10	5	12	1	16	5
14	4	0	2	9	5	2	1	18	0	8	3	1	0	4	3	7	1	16	2	6	4	15	1	13	1	11	1	3	2	10	1	12	5	5	4	19	0	17	0
10	4	13	0	3	0	17	2	12	4	2	3	18	2	7	0	16	1	8	4	14	0	9	1	5	3	1	0	4	3	19	0	6	3	11	5	15	2	0	2
6	1	5	4	7	5	17	5	16	5	8	3	18	2	10	2	12	2	2	2	11	3	19	3	13	1	0	5	1	3	3	0	15	3	14	2	4	4	9	1
