#Num of jobs: 15 
#Num of machines: 15 
                task 0            task 1            task 2            task 3            task 4            task 5            task 6            task 7            task 8            task 9            task 10            task 11            task 12            task 13            task 14      
  job id    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur    machine    dur
--------  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----  ---------  -----
       0          4      7         14      6          9      8         12      6          1      9          5      6          2      0          6      6         11      8         10      7         13      0          8     10          3      3          0      6          7      2
       1         10      6          0      4          4      7         13      8         11      5          3      6          6      5          7      0          8      8         12      3          9      6          5      1          2      7         14      6          1      0
       2          5      1          8     10         11      4         10     10         14      0         13      5          4      6          0      2          9      7          1      6          7      1          6      0          2      3          3     10         12      9
       3          8     10          1      5         12      0          3      3          7      9          0      0         14      1          6      4          9      4         10     10          4      3         13     10          5      9          2      9         11      2
       4          5     10          3      0         14      3          0      4          9      4         13      6          4      7         11     10         10      2          8      7          1      7          6      7          2      5         12      1          7      3
       5          3      0         10      1          0      1          6      0         14      6          2      4          7      4          5      0          4      6         13      7         12      6          1      7          9      7         11     10          8      3
       6          9      7          0      0         14      2          8      3          4      9         13     10          3      9          6     10         10      6         11      7          7      8         12      5          1      0          5      3          2      4
       7          5      8         11      8          9      9         13      9         14      8          8     10          6      4          4      6          2      2          1      8         12      4          0      3          3      4         10      9          7      3
       8          0      8         13      9         10      2          3      4         11      5          6      9          9      3          2      2          7      5          4      9          1      6         14      1          8      7         12      2          5      2
       9         10      7          3      5         11      3         12      8          5      8          1      6          7      3          6      4         14      0          9      7          8      7          0      3          4     10         13      1          2      5
      10          6      9         13     10          2      2          4     10          3      3         14      9          0      3          8      8          7      9          1      5          9      4         12      1         10      5          5      9         11      0
      11         11      8          3      8          4     10          2      9         10      8          9      2         13      0         12      9          6      7          5      2         14      0          1      2          7      8          8      3          0      8
      12         13      7          3      3          9      5          0      2          2      8          7      3         10      5         14      2          8      1         11     10          4      4          5      5         12      8          1      8          6      1
      13         10      0          0      5          9      9         13      2          8      0         12      2          7     10          2      6          3      0          1      0          5      3          4      1         14      6          6      7         11      7
      14          6     10         14      0          3      1         11      9          1      5         13     10          9      2          5      5         12     10          2      0          8      2          4      0          7      2          0      4         10      9
